,region,date,year,month,popn,obs
206,East Arnhem,31/10/2017,2017,10,14516,14
207,East Pilbara,31/10/2017,2017,10,25894,0
208,Far North,31/10/2017,2017,10,33560,85
209,Innisfail - Cassowary Coast,31/10/2017,2017,10,35652,7
210,Katherine,31/10/2017,2017,10,20825,53
211,Kimberley,31/10/2017,2017,10,36661,0
212,Litchfield,31/10/2017,2017,10,24668,0
213,Mackay,31/10/2017,2017,10,117557,3
214,Outback - North,31/10/2017,2017,10,30820,37
215,Palmerston,31/10/2017,2017,10,36800,12
216,Port Douglas - Daintree,31/10/2017,2017,10,12129,5
217,Tablelands (East) - Kuranda,31/10/2017,2017,10,41661,7
218,Townsville,31/10/2017,2017,10,192601,25
219,West Pilbara,31/10/2017,2017,10,34522,1
220,Whitsunday,31/10/2017,2017,10,22285,0
221,Alice Springs,30/11/2017,2017,11,39616,16
222,Barkly,30/11/2017,2017,11,6114,30
223,Bowen Basin - North,30/11/2017,2017,11,34303,0
224,Cairns_Region,30/11/2017,2017,11,160339,40
225,Charters Towers - Ayr - Ingham,30/11/2017,2017,11,42628,16
226,Daly - Tiwi - West Arnhem,30/11/2017,2017,11,17945,2
227,Darwin_Region,30/11/2017,2017,11,87677,76
228,East Arnhem,30/11/2017,2017,11,14516,14
229,East Pilbara,30/11/2017,2017,11,25894,1
230,Far North,30/11/2017,2017,11,33560,82
231,Innisfail - Cassowary Coast,30/11/2017,2017,11,35652,9
232,Katherine,30/11/2017,2017,11,20825,37
233,Kimberley,30/11/2017,2017,11,36661,0
234,Litchfield,30/11/2017,2017,11,24668,0
235,Mackay,30/11/2017,2017,11,117557,4
236,Outback - North,30/11/2017,2017,11,30820,36
237,Palmerston,30/11/2017,2017,11,36800,10
238,Port Douglas - Daintree,30/11/2017,2017,11,12129,3
239,Tablelands (East) - Kuranda,30/11/2017,2017,11,41661,11
240,Townsville,30/11/2017,2017,11,192601,32
241,West Pilbara,30/11/2017,2017,11,34522,1
242,Whitsunday,30/11/2017,2017,11,22285,0
243,Alice Springs,31/12/2017,2017,12,39616,17
244,Barkly,31/12/2017,2017,12,6114,39
245,Bowen Basin - North,31/12/2017,2017,12,34303,4
246,Cairns_Region,31/12/2017,2017,12,160339,36
247,Charters Towers - Ayr - Ingham,31/12/2017,2017,12,42628,20
248,Daly - Tiwi - West Arnhem,31/12/2017,2017,12,17945,3
249,Darwin_Region,31/12/2017,2017,12,87677,81
250,East Arnhem,31/12/2017,2017,12,14516,11
251,East Pilbara,31/12/2017,2017,12,25894,0
252,Far North,31/12/2017,2017,12,33560,60
253,Innisfail - Cassowary Coast,31/12/2017,2017,12,35652,16
254,Katherine,31/12/2017,2017,12,20825,45
255,Kimberley,31/12/2017,2017,12,36661,0
256,Litchfield,31/12/2017,2017,12,24668,0
257,Mackay,31/12/2017,2017,12,117557,5
258,Outback - North,31/12/2017,2017,12,30820,37
259,Palmerston,31/12/2017,2017,12,36800,10
260,Port Douglas - Daintree,31/12/2017,2017,12,12129,0
261,Tablelands (East) - Kuranda,31/12/2017,2017,12,41661,14
262,Townsville,31/12/2017,2017,12,192601,31
263,West Pilbara,31/12/2017,2017,12,34522,1
264,Whitsunday,31/12/2017,2017,12,22285,4
265,Alice Springs,31/1/2018,2018,1,39869,21
266,Barkly,31/1/2018,2018,1,6064,49
267,Bowen Basin - North,31/1/2018,2018,1,34541,3
268,Cairns_Region,31/1/2018,2018,1,162266,56
269,Charters Towers - Ayr - Ingham,31/1/2018,2018,1,42336,27
270,Daly - Tiwi - West Arnhem,31/1/2018,2018,1,17918,3
271,Darwin_Region,31/1/2018,2018,1,87284,105
272,East Arnhem,31/1/2018,2018,1,14501,20
273,East Pilbara,31/1/2018,2018,1,25988,1
274,Far North,31/1/2018,2018,1,33455,109
275,Innisfail - Cassowary Coast,31/1/2018,2018,1,35784,4
276,Katherine,31/1/2018,2018,1,20937,76
277,Kimberley,31/1/2018,2018,1,37094,0
278,Litchfield,31/1/2018,2018,1,24136,1
279,Mackay,31/1/2018,2018,1,118436,12
280,Outback - North,31/1/2018,2018,1,30784,53
281,Palmerston,31/1/2018,2018,1,37654,8
282,Port Douglas - Daintree,31/1/2018,2018,1,12131,3
283,Tablelands (East) - Kuranda,31/1/2018,2018,1,42222,20
284,Townsville,31/1/2018,2018,1,193295,53
285,West Pilbara,31/1/2018,2018,1,33699,0
