"","region","date","year","month","popn","obs","p","rate","obs.noise"
"158","Cairns_Region",2017-08-31,2017,8,160339,52,0.000324313,3.243128621,51
"159","Charters Towers - Ayr - Ingham",2017-08-31,2017,8,42628,24,0.00056301,5.63010228,23
"160","Daly - Tiwi - West Arnhem",2017-08-31,2017,8,17945,3,0.000167177,1.671774868,2
"161","Darwin_Region",2017-08-31,2017,8,87677,77,0.000878223,8.782234794,76
"162","East Arnhem",2017-08-31,2017,8,14516,17,0.001171122,11.71121521,16
"163","East Pilbara",2017-08-31,2017,8,25894,0,0,0,0
"164","Far North",2017-08-31,2017,8,33560,54,0.001609058,16.09058403,53
"165","Innisfail - Cassowary Coast",2017-08-31,2017,8,35652,11,0.000308538,3.085380904,10
"166","Katherine",2017-08-31,2017,8,20825,75,0.003601441,36.01440576,74
"167","Kimberley",2017-08-31,2017,8,36661,5,0.000136385,1.36384714,4
"168","Litchfield",2017-08-31,2017,8,24668,3,0.000121615,1.216150478,2
"169","Mackay",2017-08-31,2017,8,117557,9,7.65586056125964e-05,0.765586056,8
"170","Outback - North",2017-08-31,2017,8,30820,39,0.001265412,12.6541207,38
"171","Palmerston",2017-08-31,2017,8,36800,9,0.000244565,2.445652174,8
"172","Port Douglas - Daintree",2017-08-31,2017,8,12129,2,0.000164894,1.648940556,1
"173","Tablelands (East) - Kuranda",2017-08-31,2017,8,41661,14,0.000336046,3.360457022,13
"174","Townsville",2017-08-31,2017,8,192601,27,0.000140186,1.40186188,26
"175","West Pilbara",2017-08-31,2017,8,34522,0,0,0,0
"176","Whitsunday",2017-08-31,2017,8,22285,3,0.00013462,1.346196993,2
"177","Alice Springs",2017-09-30,2017,9,39616,52,0.001312601,13.12600969,51
"178","Barkly",2017-09-30,2017,9,6114,44,0.007196598,71.96597972,43
"179","Bowen Basin - North",2017-09-30,2017,9,34303,1,2.91519692155205e-05,0.291519692,0
"180","Cairns_Region",2017-09-30,2017,9,160339,39,0.000243235,2.432346466,38
"181","Charters Towers - Ayr - Ingham",2017-09-30,2017,9,42628,20,0.000469175,4.6917519,19
"182","Daly - Tiwi - West Arnhem",2017-09-30,2017,9,17945,2,0.000111452,1.114516578,1
"183","Darwin_Region",2017-09-30,2017,9,87677,56,0.000638708,6.38707985,55
"184","East Arnhem",2017-09-30,2017,9,14516,13,0.000895564,8.955635161,12
"185","East Pilbara",2017-09-30,2017,9,25894,2,7.72379701861435e-05,0.772379702,1
"186","Far North",2017-09-30,2017,9,33560,60,0.001787843,17.8784267,59
"187","Innisfail - Cassowary Coast",2017-09-30,2017,9,35652,5,0.000140245,1.402445866,4
"188","Katherine",2017-09-30,2017,9,20825,54,0.002593037,25.93037215,53
"189","Kimberley",2017-09-30,2017,9,36661,2,5.45538856005019e-05,0.545538856,1
"190","Litchfield",2017-09-30,2017,9,24668,4,0.000162153,1.621533971,3
"191","Mackay",2017-09-30,2017,9,117557,10,8.50651173473294e-05,0.850651173,9
"192","Outback - North",2017-09-30,2017,9,30820,25,0.000811162,8.111615834,24
"193","Palmerston",2017-09-30,2017,9,36800,16,0.000434783,4.347826087,15
"194","Port Douglas - Daintree",2017-09-30,2017,9,12129,9,0.000742023,7.420232501,8
"195","Tablelands (East) - Kuranda",2017-09-30,2017,9,41661,6,0.00014402,1.440195867,5
"196","Townsville",2017-09-30,2017,9,192601,42,0.000218067,2.180674036,41
"197","West Pilbara",2017-09-30,2017,9,34522,2,5.79340710271711e-05,0.57934071,1
"198","Whitsunday",2017-09-30,2017,9,22285,2,8.97464662328921e-05,0.897464662,1
"199","Alice Springs",2017-10-31,2017,10,39616,85,0.002145598,21.45597738,84
"200","Barkly",2017-10-31,2017,10,6114,39,0.006378803,63.78802748,38
"201","Bowen Basin - North",2017-10-31,2017,10,34303,1,2.91519692155205e-05,0.291519692,0
"202","Cairns_Region",2017-10-31,2017,10,160339,36,0.000224524,2.245242892,35
"203","Charters Towers - Ayr - Ingham",2017-10-31,2017,10,42628,16,0.00037534,3.75340152,15
"204","Daly - Tiwi - West Arnhem",2017-10-31,2017,10,17945,5,0.000278629,2.786291446,4
"205","Darwin_Region",2017-10-31,2017,10,87677,86,0.000980873,9.808729769,85
"206","East Arnhem",2017-10-31,2017,10,14516,15,0.001033343,10.33342519,14
"207","East Pilbara",2017-10-31,2017,10,25894,0,0,0,0
"208","Far North",2017-10-31,2017,10,33560,86,0.002562574,25.62574493,85
"209","Innisfail - Cassowary Coast",2017-10-31,2017,10,35652,8,0.000224391,2.243913385,7
"210","Katherine",2017-10-31,2017,10,20825,54,0.002593037,25.93037215,53
"211","Kimberley",2017-10-31,2017,10,36661,1,2.7276942800251e-05,0.272769428,0
"212","Litchfield",2017-10-31,2017,10,24668,0,0,0,0
"213","Mackay",2017-10-31,2017,10,117557,4,3.40260469389318e-05,0.340260469,3
"214","Outback - North",2017-10-31,2017,10,30820,38,0.001232966,12.32965607,37
"215","Palmerston",2017-10-31,2017,10,36800,13,0.000353261,3.532608696,12
"216","Port Douglas - Daintree",2017-10-31,2017,10,12129,6,0.000494682,4.946821667,5
"217","Tablelands (East) - Kuranda",2017-10-31,2017,10,41661,8,0.000192026,1.920261156,7
"218","Townsville",2017-10-31,2017,10,192601,26,0.000134994,1.34994107,25
"219","West Pilbara",2017-10-31,2017,10,34522,2,5.79340710271711e-05,0.57934071,1
"220","Whitsunday",2017-10-31,2017,10,22285,1,4.4873233116446e-05,0.448732331,0
"221","Alice Springs",2017-11-30,2017,11,39616,17,0.00042912,4.291195477,16
"222","Barkly",2017-11-30,2017,11,6114,31,0.00507033,50.70330389,30
"223","Bowen Basin - North",2017-11-30,2017,11,34303,1,2.91519692155205e-05,0.291519692,0
"224","Cairns_Region",2017-11-30,2017,11,160339,41,0.000255708,2.557082182,40
"225","Charters Towers - Ayr - Ingham",2017-11-30,2017,11,42628,17,0.000398799,3.987989115,16
"226","Daly - Tiwi - West Arnhem",2017-11-30,2017,11,17945,3,0.000167177,1.671774868,2
"227","Darwin_Region",2017-11-30,2017,11,87677,77,0.000878223,8.782234794,76
"228","East Arnhem",2017-11-30,2017,11,14516,15,0.001033343,10.33342519,14
"229","East Pilbara",2017-11-30,2017,11,25894,2,7.72379701861435e-05,0.772379702,1
"230","Far North",2017-11-30,2017,11,33560,83,0.002473182,24.7318236,82
"231","Innisfail - Cassowary Coast",2017-11-30,2017,11,35652,10,0.000280489,2.804891731,9
"232","Katherine",2017-11-30,2017,11,20825,38,0.00182473,18.24729892,37
"233","Kimberley",2017-11-30,2017,11,36661,1,2.7276942800251e-05,0.272769428,0
"234","Litchfield",2017-11-30,2017,11,24668,1,4.05383492784174e-05,0.405383493,0
"235","Mackay",2017-11-30,2017,11,117557,5,4.25325586736647e-05,0.425325587,4
"236","Outback - North",2017-11-30,2017,11,30820,37,0.001200519,12.00519143,36
"237","Palmerston",2017-11-30,2017,11,36800,11,0.000298913,2.989130435,10
"238","Port Douglas - Daintree",2017-11-30,2017,11,12129,4,0.000329788,3.297881111,3
"239","Tablelands (East) - Kuranda",2017-11-30,2017,11,41661,12,0.000288039,2.880391733,11
"240","Townsville",2017-11-30,2017,11,192601,33,0.000171339,1.713386743,32
"241","West Pilbara",2017-11-30,2017,11,34522,2,5.79340710271711e-05,0.57934071,1
"242","Whitsunday",2017-11-30,2017,11,22285,1,4.4873233116446e-05,0.448732331,0
"243","Alice Springs",2017-12-31,2017,12,39616,18,0.000454362,4.54361874,17
"244","Barkly",2017-12-31,2017,12,6114,40,0.006542362,65.42361793,39
"245","Bowen Basin - North",2017-12-31,2017,12,34303,5,0.00014576,1.457598461,4
"246","Cairns_Region",2017-12-31,2017,12,160339,37,0.000230761,2.30761075,36
"247","Charters Towers - Ayr - Ingham",2017-12-31,2017,12,42628,21,0.000492634,4.926339495,20
"248","Daly - Tiwi - West Arnhem",2017-12-31,2017,12,17945,4,0.000222903,2.229033157,3
"249","Darwin_Region",2017-12-31,2017,12,87677,82,0.000935251,9.35250978,81
"250","East Arnhem",2017-12-31,2017,12,14516,12,0.000826674,8.266740149,11
"251","East Pilbara",2017-12-31,2017,12,25894,0,0,0,0
"252","Far North",2017-12-31,2017,12,33560,61,0.00181764,18.17640048,60
"253","Innisfail - Cassowary Coast",2017-12-31,2017,12,35652,17,0.000476832,4.768315943,16
"254","Katherine",2017-12-31,2017,12,20825,46,0.002208884,22.08883553,45
"255","Kimberley",2017-12-31,2017,12,36661,1,2.7276942800251e-05,0.272769428,0
"256","Litchfield",2017-12-31,2017,12,24668,1,4.05383492784174e-05,0.405383493,0
"257","Mackay",2017-12-31,2017,12,117557,6,5.10390704083976e-05,0.510390704,5
"258","Outback - North",2017-12-31,2017,12,30820,38,0.001232966,12.32965607,37
"259","Palmerston",2017-12-31,2017,12,36800,11,0.000298913,2.989130435,10
"260","Port Douglas - Daintree",2017-12-31,2017,12,12129,0,0,0,0
"261","Tablelands (East) - Kuranda",2017-12-31,2017,12,41661,15,0.000360049,3.600489667,14
